 RespId,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9
487289,Some,None,Some,Only a few,None,Only a few,None,Some,Some
476729,Some,None,Some,Only a few,None,Only a few,None,Some,Only a few
476730,None,Only a few,Only a few,Some,Only a few,Only a few,Only a few,None,A lot
476731,Some,Some,Some,Some,Some,Some,Only a few,A lot,Some
476732,Only a few,Some,Some,A lot,Some,Some,Some,Some,Some
476733,None,Some,Some,A lot,Some,Some,Some,Some,Some
476734,Only a few,Only a few,Some,Some,,Some,Only a few,Some,Some
476735,Some,Some,A lot,A lot,Some,Some,Some,A lot,Some
476736,Some,Some,Some,Only a few,Some,Some,Some,Only a few,Some
476738,Some,Only a few,A lot,Some,Some,A lot,None,A lot,A lot
476739,Some,Some,Some,A lot,Only a few,Some,Some,A lot,Only a few
476740,Some,Some,A lot,A lot,A lot,Only a few,Some,Some,A lot
476741,None,Some,Only a few,Some,Some,Some,None,Some,Some
476744,Only a few,Some,Some,A lot,Some,A lot,Only a few,A lot,Some
476746,A lot,Only a few,Some,Only a few,Only a few,None,None,A lot,A lot
476747,A lot,A lot,A lot,A lot,A lot,A lot,Some,A lot,A lot
476748,Some,Only a few,Some,A lot,Some,A lot,Some,A lot,A lot
476749,A lot,Some,Only a few,None,Some,None,None,A lot,Some
476750,Only a few,Only a few,Some,Some,Only a few,Only a few,A lot,Only a few,None
476751,None,Only a few,Only a few,Only a few,Only a few,Some,Some,Only a few,Only a few
487313,Only a few,Only a few,Only a few,A lot,Only a few,A lot,Only a few,Some,Some
476752,A lot,Some,Some,Some,Only a few,Some,Only a few,A lot,A lot
476754,None,None,None,A lot,None,A lot,None,None,None
476756,Only a few,Only a few,Some,Some,Only a few,Some,Only a few,Some,A lot
476759,Some,Only a few,Only a few,Only a few,Some,Only a few,None,Some,Some
476760,None,Some,None,None,Only a few,Only a few,None,Only a few,None
487323,Only a few,Only a few,Some,Some,Some,Some,None,Some,Some
476762,Some,Some,Some,A lot,A lot,Some,A lot,Some,A lot
476763,None,None,None,None,None,None,None,A lot,A lot
476764,None,None,None,None,None,None,A lot,None,None
476765,None,None,Only a few,A lot,Some,Some,Some,Some,A lot
476766,None,Some,Some,A lot,Some,A lot,Only a few,A lot,A lot
476767,Some,Some,Some,Only a few,Some,None,Some,Only a few,Some
476768,None,Only a few,Some,A lot,Only a few,A lot,A lot,Some,A lot
476769,None,Only a few,Some,Some,None,Only a few,Only a few,Some,A lot
476770,Some,Some,Some,Some,Some,Some,Some,Some,Some
476771,Some,Only a few,Some,A lot,A lot,Only a few,Some,Some,A lot
476772,Only a few,None,Some,Some,None,A lot,None,A lot,A lot
487336,None,Some,Some,Some,Some,Some,Some,None,Some
476773,Only a few,Only a few,A lot,Only a few,Only a few,Some,Only a few,A lot,Only a few
476775,A lot,Some,Some,Only a few,Some,Some,None,A lot,A lot
476776,Some,Some,Some,A lot,Some,Some,Some,Some,Some
