 RespId,Q10_1,Q10_2,Q10_3,Q10_4
481358,No,Yes,Yes,No
481359,No,No,No,No
471278,Yes,Yes,No,No
471280,No,No,No,No
471281,No,No,No,No
471282,No,Yes,No,No
471283,No,No,No,No
471284,No,Yes,No,No
471285,No,No,No,No
471286,No,No,No,No
471288,Yes,Yes,Yes,No
471289,No,No,No,No
471290,No,No,No,No
481374,No,No,No,No
471292,No,No,Yes,No
471293,No,No,No,No
471294,No,No,Yes,No
471295,No,No,Yes,No
471296,No,No,No,No
471297,No,No,No,No
471298,Yes,Yes,Yes,No
471299,No,No,No,No
481384,No,No,No,No
471300,No,Yes,No,No
471301,Yes,Yes,No,No
471302,No,Yes,No,No
471303,No,No,No,No
471304,No,Yes,No,No
471305,No,Yes,No,No
481392,Yes,Yes,No,No
471307,No,No,Yes,No
481394,No,No,No,No
471308,No,Yes,No,No
471310,No,Yes,No,No
471311,No,No,No,No
471314,No,No,No,No
471316,No,No,No,No
471317,No,No,No,No
471318,No,No,No,No
471320,No,Yes,No,No
471322,No,No,No,No
471323,No,No,No,No
471324,No,Yes,No,No
471326,No,No,Yes,No
471327,No,No,No,No
471328,No,Yes,No,No
471330,No,Yes,Yes,No
471335,No,No,No,No
471337,No,No,No,No
471339,No,No,No,No
471340,No,Yes,No,No
471341,No,No,No,No
471342,No,No,No,No
471343,No,No,No,No
471344,No,Yes,Yes,No
471345,No,Yes,No,No
471347,No,No,Yes,No
471349,No,No,No,No
481437,No,No,No,No
471350,No,No,No,No
471351,No,No,Yes,No
471353,No,No,No,No
471354,No,No,No,No
471355,No,No,Yes,No
471356,Yes,No,Yes,No
471357,No,No,No,No
471358,No,Yes,No,No
471359,No,No,No,No
481448,No,No,No,No
471360,No,No,No,No
471362,No,No,No,No
471363,No,No,No,No
471365,No,Yes,No,No
471366,No,No,No,No
471367,No,No,No,No
471368,No,No,No,No
471369,No,No,No,No
471371,No,No,No,No
471372,No,No,No,No
471374,No,No,Yes,No
471375,No,Yes,No,No
471376,No,No,Yes,No
471379,No,No,No,Yes
471380,No,Yes,No,No
471383,No,No,No,No
471384,No,No,No,No
471385,No,Yes,No,No
471388,No,No,Yes,No
471390,No,No,No,No
471391,No,No,No,No
471392,No,No,Yes,No
471393,No,No,No,No
471394,No,No,No,No
471395,No,No,No,No
471396,No,No,Yes,No
471398,No,No,No,No
471400,No,No,No,No
471401,No,No,No,No
471402,No,No,No,No
471403,No,No,No,No
471404,No,No,No,No
481494,No,No,No,No
481495,No,No,No,No
471405,No,No,No,No
471408,No,No,No,No
471410,No,No,No,No
471411,No,No,No,No
471412,No,No,No,No
471415,No,No,No,No
471417,No,No,No,No
471418,No,No,No,No
471419,No,No,Yes,No
471420,No,No,No,No
471421,No,No,No,No
471422,No,No,Yes,No
471423,No,No,No,No
471425,Yes,Yes,Yes,No
471426,No,No,No,No
471427,No,No,Yes,No
471429,No,No,No,No
471430,No,No,No,No
481524,No,Yes,No,No
471433,No,No,No,No
471434,No,No,No,No
471435,No,No,Yes,No
471438,No,No,No,No
471440,No,Yes,No,No
471441,No,Yes,No,No
471442,No,No,No,No
471445,No,Yes,No,No
471446,No,No,No,No
471447,No,No,No,No
471449,No,No,No,No
481542,No,No,Yes,No
471450,No,No,No,No
471451,No,Yes,No,No
471453,No,No,No,No
471454,No,No,No,No
471455,No,Yes,No,No
471456,No,No,No,No
471457,No,No,No,No
471458,No,No,No,No
471461,No,No,Yes,No
471462,No,No,No,No
481556,No,No,Yes,No
471463,No,Yes,No,No
481558,No,Yes,No,No
471464,No,No,No,No
471465,No,No,No,No
471466,No,No,Yes,No
471468,No,Yes,No,No
471470,No,No,No,No
471471,No,Yes,No,No
471472,No,No,No,No
471473,Yes,Yes,Yes,No
471474,No,No,Yes,No
471475,No,No,No,No
471477,No,No,No,No
471478,No,Yes,Yes,No
471479,No,No,No,No
471480,No,No,Yes,No
481576,No,No,No,No
481577,Yes,Yes,Yes,No
471482,Yes,Yes,Yes,No
471483,No,No,No,No
471485,No,No,No,No
471486,No,No,Yes,No
471489,No,No,No,No
471491,No,Yes,No,No
471494,No,Yes,No,No
471495,No,No,No,No
471497,No,No,No,No
471498,No,No,No,No
471499,No,No,No,No
471500,No,No,No,No
471501,No,Yes,No,No
471502,No,No,No,No
471503,No,Yes,No,No
471504,No,No,No,No
471505,No,Yes,No,No
471508,No,No,No,No
471509,No,No,No,No
471510,No,No,No,No
481608,No,No,No,No
471511,No,No,No,No
471512,No,No,Yes,No
471514,No,No,No,No
471516,No,No,No,No
471517,Yes,No,No,No
471519,No,No,Yes,No
471521,Yes,No,Yes,No
471523,Yes,No,Yes,No
471524,No,No,No,No
471525,No,No,No,No
471526,Yes,Yes,Yes,No
471527,No,No,Yes,No
471528,No,Yes,Yes,No
471530,No,No,No,No
471531,No,No,No,No
471537,No,No,No,No
471538,No,No,No,No
471540,No,Yes,No,No
471542,No,No,No,No
